Participant_Code,Window_ID,Window_Start,Window_End,Segment_Type,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_pNN50,HRV_LF,HRV_HF,HRV_LFHF,HRV_SDSD,HRV_pNN20,HRV_VLF,HRV_maxNN,HRV_minNN,HRV_prc80NN,HRV_madNN,EDA_Tonic,SCR_Amplitude,SCR_Onsets,SCR_Phasic,Window_Start_readable,Window_End_readable
bo87stff,Task_1,1724165965866357600,1724166265865982900,Task,764.7549234135668,70.39681623181023,40.527227148558744,12.035010940919037,0.006823362292698085,0.0016305964246919153,4.184580678194048,40.57173598153318,50.76586433260394,0.01022617635926642,950.0,454.0,827.8,49.0,22.851819176280337,8.49780475612486e-05,37,-0.0018863896526817101,2024-08-20 16:59:25.866358,2024-08-20 17:04:25.865983
bo87stff,Task_2,1724166235866728200,1724166535866228000,Task,772.3369803063457,79.10497279920655,42.7056685090752,13.129102844638949,0.008951258240892204,0.002317720507897627,3.862095628178986,42.75210527332795,50.76586433260394,0.01530333249879018,941.0,451.0,841.8,56.0,22.028036492304285,9.947809519209914e-05,17,-0.0006279604813747161,2024-08-20 17:03:55.866728,2024-08-20 17:08:55.866228
bo87stff,Task_3,1724166505866756200,1724166805865806300,Task,740.8839662447257,84.85062883581921,49.36163312254076,13.502109704641349,0.0041112523428238545,0.0010207757155718204,4.027576557814959,49.41374285503323,50.210970464135016,0.0024762698677143545,950.0,451.0,808.8000000000001,54.0,22.458020196752035,0.0001384385517372989,22,0.0013493326515148175,2024-08-20 17:08:25.866756,2024-08-20 17:13:25.865806
bo87stff,Task_4,1724166775867053600,1724167075865179300,Task,767.8100436681223,92.43475993477455,63.66640698638332,18.340611353711793,0.018460926933435096,0.004246831867815633,4.346987944905507,63.736142235744786,50.65502183406113,0.019131458095142998,1102.0,457.0,837.0,56.0,22.619533002477233,9.150813753014983e-05,33,0.0007178104782218464,2024-08-20 17:12:55.867054,2024-08-20 17:17:55.865179
bo87stff,Task_5,1724167045866457300,1724167345866327100,Task,758.9871244635193,90.90221524852875,45.090565973216016,17.59656652360515,0.02772649049441126,0.004581846569827956,6.051379083052177,45.13912463549478,53.00429184549357,0.023722037004313967,949.0,452.0,841.0,68.0,23.677893892919617,0.000111244248910567,44,0.0029473843209088728,2024-08-20 17:17:25.866457,2024-08-20 17:22:25.866327
bo87stff,Task_6,1724167315866396600,1724167615865978600,Task,837.8465227817745,68.87077115068121,39.953879661429625,21.34292565947242,0.028915896355607037,0.00872430523298898,3.3144067731913065,39.99879487294873,58.033573141486805,0.01445823419867422,1016.9999999999999,655.0,899.0,46.0,21.830852581627994,5.8668344049242446e-05,31,0.001972394382773266,2024-08-20 17:21:55.866397,2024-08-20 17:26:55.865979
bo87stff,Task_7,1724167585866622300,1724167688812791100,Task,769.6433121019109,88.56122123654562,31.069401222226546,11.464968152866243,0.00935543670331793,0.0017804471536773199,5.254543323004726,31.169015494264816,47.77070063694268,,966.0,601.0,846.8,68.0,20.58652043160553,6.553575545250765e-05,5,-0.0001762092580179103,2024-08-20 17:26:25.866622,2024-08-20 17:28:08.812791
bo87stff,Baseline_1,1724165070617684700,1724165370616829200,Baseline,789.1550561797753,90.18434949825004,39.951039856123714,11.685393258426966,0.010511876225493884,0.002376752123368787,4.422790295268336,39.99581201511603,45.84269662921348,0.013783742574240341,922.0,470.0,863.2,50.0,21.53068686360269,0.0001220164700074592,30,-0.000614780985770711,2024-08-20 16:44:30.617685,2024-08-20 16:49:30.616829
nptizznn,Task_1,1724165965104762500,1724166265104118300,Task,645.4422018348624,35.324817069949056,21.852025750757406,1.4678899082568808,0.002094867168188688,0.00318493908520312,0.6577416748474759,21.872093489684353,13.577981651376147,0.0034055108350499936,944.0,589.0,664.0,16.0,4.814642158757392,6.174763183895955e-06,541,-5.394505704172328e-06,2024-08-20 16:59:25.104763,2024-08-20 17:04:25.104118
nptizznn,Task_2,1724166235105323600,1724166535104472900,Task,638.9391771019677,22.419986444089712,11.708603582386004,0.17889087656529518,0.014785039260732893,0.007427759570390156,1.99051128683158,11.718855464295522,7.6923076923076925,0.005896395260820282,702.0,569.0,659.0,14.0,4.143277227015301,5.6308167481511544e-06,521,3.201202565040586e-05,2024-08-20 17:03:55.105324,2024-08-20 17:08:55.104473
nptizznn,Task_3,1724166505104799100,1724166805104067400,Task,647.8563535911602,22.81826142754635,12.759700744908988,0.1841620626151013,0.01262622349337192,0.009823934625972346,1.2852511721719861,12.771417369904677,10.865561694290976,0.01458453413009,722.0,582.0,665.6,13.0,4.095933453460301,6.501366630653676e-07,36,2.745075346413179e-06,2024-08-20 17:08:25.104799,2024-08-20 17:13:25.104067
nptizznn,Task_4,1724166775104888800,1724167075104682100,Task,648.4871323529412,30.021475122935517,17.139660317553115,0.9191176470588236,0.04095137187728607,0.023017550341540263,1.7791368442618438,17.15527280203676,11.76470588235294,0.013031052025510564,883.0,558.0,669.0,15.0,3.725976971995468,2.589660797838362e-06,218,-7.879814183838949e-06,2024-08-20 17:12:55.104889,2024-08-20 17:17:55.104682
nptizznn,Task_5,1724167045105108400,1724167345104368800,Task,661.4747663551402,31.613519643390877,17.218577198742747,0.9345794392523363,0.017077422813162817,0.009614071573235098,1.7762945369270149,17.2344024891282,12.710280373831775,0.011464206978945145,883.0,558.0,685.0,19.0,4.228490686214373,4.235987728666229e-06,17,1.4548374544379322e-05,2024-08-20 17:17:25.105108,2024-08-20 17:22:25.104369
nptizznn,Task_6,1724167315105378100,1724167615104549900,Task,657.9024390243902,31.184236873432127,16.573089429345476,1.5009380863039399,0.0059511310870238995,0.004713816578032407,1.2624867744658745,16.58826414919288,15.947467166979362,0.003727080392567975,808.0,586.0,682.0,21.0,4.547587813402875,5.156765851594841e-06,18,-6.0609438509725254e-06,2024-08-20 17:21:55.105378,2024-08-20 17:26:55.104550
nptizznn,Task_7,1724167585106077800,1724167683902587300,Task,659.0628571428572,77.81544289348587,105.56013702499457,8.0,0.021436536836540815,0.02035129433416717,1.0533254782007484,105.86445251746908,26.285714285714285,,1537.0,548.0,683.0,21.0,4.208100065689254,3.218569814492805e-05,7,-8.410861558533777e-06,2024-08-20 17:26:25.106078,2024-08-20 17:28:03.902587
nptizznn,Baseline_1,1724165119207459500,1724165419204626300,Baseline,651.5240740740741,40.401571614690795,23.86919362803633,2.2222222222222223,0.00696299751785339,0.005135041554537805,1.355976858979891,23.891115369026895,15.37037037037037,0.009094991207819932,956.0,566.0,673.0,20.0,5.797915155445676,4.8884961534029655e-06,30,6.688696795810799e-05,2024-08-20 16:45:19.207460,2024-08-20 16:50:19.204626
nz59smtl,Task_1,1724165965001282100,1724166265000024500,Task,759.647311827957,52.37324927408456,26.21841285077709,4.731182795698925,0.013203376223465013,0.003412838258783098,3.868737755000698,26.24652356513586,34.40860215053764,0.005475202098423877,898.0,602.0,798.0,30.0,8.097972468246557,1.8458635229658363e-05,62,2.0220725385737584e-05,2024-08-20 16:59:25.001282,2024-08-20 17:04:25.000025
nz59smtl,Task_2,1724166235001820600,1724166534999059300,Task,727.8489795918367,61.86364094143894,29.339978797337615,8.16326530612245,0.006250030843282893,0.0033661472350719926,1.8567312737136474,29.369873909262456,35.51020408163265,0.006055097129511107,917.0,571.0,781.0,43.0,8.31478844811968,2.0689309155311812e-05,59,8.917397961249943e-05,2024-08-20 17:03:55.001821,2024-08-20 17:08:54.999059
nz59smtl,Task_3,1724166505001560000,1724166805000761600,Task,743.9957983193277,57.61421592841089,30.164531280436318,9.243697478991598,0.008861386131319968,0.00415066170484773,2.134933357968053,30.195090732277098,33.61344537815126,0.005383252817271331,891.0,578.0,791.0,35.0,8.720502678608511,2.24014345680004e-05,66,-8.458184573976523e-05,2024-08-20 17:08:25.001560,2024-08-20 17:13:25.000762
nz59smtl,Task_4,1724166775001633300,1724167075001090100,Task,702.2590361445783,86.73389058105637,30.204733995425393,8.634538152610443,0.0019983706560058848,0.000835254939933233,2.392527790575685,30.235048647924977,31.92771084337349,0.001117094733662779,889.0,512.0,783.6,68.5,9.35158071312522,2.6971330012431817e-05,65,-0.00028575402240670425,2024-08-20 17:12:55.001633,2024-08-20 17:17:55.001090
nz59smtl,Task_5,1724167045001632300,1724167345001235900,Task,781.807606263982,92.32033155889917,29.12459703526158,7.38255033557047,0.001107387878511929,0.0005035226869218024,2.1992810001903798,29.15405090089678,37.360178970917225,0.0013422960495007505,950.0,583.0,872.8,75.0,9.151354460300876,3.0014404247730628e-05,67,6.8026639600744e-05,2024-08-20 17:17:25.001632,2024-08-20 17:22:25.001236
nz59smtl,Task_6,1724167315001969300,1724167615000843400,Task,816.1255813953488,252.58205626738925,289.1149705575036,11.86046511627907,0.0036279113925456277,0.0014050105976595572,2.5821238633992802,289.45091994041707,38.83720930232558,0.002092254404425194,3834.0,356.0,854.0,52.0,7.83023880133222,1.1581000905423929e-05,7,-0.00024973558830523965,2024-08-20 17:21:55.001969,2024-08-20 17:26:55.000844
nz59smtl,Task_7,1724167585001477900,1724167687308500600,Task,1098.2358490566037,978.0987831296736,1367.496635322752,94.33962264150944,0.040216506433230055,0.002570329504452776,15.646440023958002,1373.9591031817931,97.16981132075472,,8316.0,302.0,1353.0,306.5,0.023832606661252826,1.8767336760442888e-06,20,7.344961693776275e-07,2024-08-20 17:26:25.001478,2024-08-20 17:28:07.308501
nz59smtl,Baseline_1,1724164951855921500,1724165251853512200,Baseline,734.0666666666667,78.34994389989193,24.535135217179075,4.375,0.002393225426414008,0.00045185617595815906,5.296431815586417,24.560778973858444,26.875,0.0023391852508036835,931.0,567.0,802.2,53.0,6.9334671722760115,2.5272293587106464e-05,70,-0.00013747552979343118,2024-08-20 16:42:31.855922,2024-08-20 16:47:31.853512
gye82bv5,Task_1,1724165966598752600,1724166011676641800,Task,738.3888888888889,47.872352441941985,27.818830384177943,8.333333333333332,0.0220771941820628,0.03256880039697122,0.6778632898040634,28.016702405566804,36.11111111111111,,879.0,635.0,765.0,21.0,4.839704708202834,1.4732005536977725e-06,9,-0.00026711075930105967,2024-08-20 16:59:26.598752,2024-08-20 17:00:11.676642
gye82bv5,Baseline_1,1724164953684535200,1724165253683921100,Baseline,711.4485436893204,37.41307399628754,20.044211833234158,1.7475728155339807,0.023426505890626535,0.003387571761324194,6.915427197170036,20.063221047435267,27.57281553398058,0.015595722553088245,833.0,610.0,741.0,25.0,9.709842952785083,2.3743859595019418e-05,25,-0.0002818709127432017,2024-08-20 16:42:33.684535,2024-08-20 16:47:33.683921
r4pjw3xb,Task_1,1724166036309147648,1724166311187054592,Task,500.6174089068826,26.194761546713128,5.817295945499753,0.0,0.006931184441187409,0.0006804182179411726,10.186653235358644,5.820219633803841,0.6072874493927125,0.004908469347241306,580.0,434.0,522.0,18.0,11.902896169049779,7.721699523696322e-06,45,-0.00014624131423705708,2024-08-20 17:00:36.309148,2024-08-20 17:05:11.187055
r4pjw3xb,Task_2,1724166311187054592,1724166586064961536,Task,528.9550321199143,23.632867899935803,6.901853673991637,0.0,0.014152422271591409,0.001574195904060443,8.99025479299431,6.905507430446256,1.070663811563169,0.010726371808995518,607.0,469.0,549.0,16.0,12.380573057126474,5.67760120416577e-06,47,6.147493584177286e-05,2024-08-20 17:05:11.187055,2024-08-20 17:09:46.064961
r4pjw3xb,Task_3,1724166586064961536,1724166860942868480,Task,530.0967741935484,20.453767613926296,6.3733838365914615,0.0,0.010781381795769046,0.0012813068024127828,8.414363972365567,6.376787379410519,0.5376344086021506,0.003497738833610193,607.0,473.0,547.0,14.0,10.630549227469164,6.941442257169056e-06,49,-0.0005504317445458114,2024-08-20 17:09:46.064961,2024-08-20 17:14:20.942868
r4pjw3xb,Task_4,1724166860942868480,1724167135820775424,Task,532.9137931034483,28.722890289615602,25.069654851842436,0.3232758620689655,0.007004344343575189,0.00128114556488581,5.467250978774995,25.083187729941034,1.9396551724137931,0.003706856619631643,1038.0,472.0,553.0,16.0,9.975479834535424,6.465872754516609e-06,47,8.932618995895618e-05,2024-08-20 17:14:20.942868,2024-08-20 17:18:55.820776
r4pjw3xb,Task_5,1724167135820775424,1724167410698682368,Task,588.0463182897862,49.442109864044056,29.02295208828943,1.7814726840855106,0.004119873865408849,0.0020710643986556693,1.9892543506049667,29.04022229717927,8.432304038004752,0.0015105494618678928,1038.0,486.0,618.0,28.0,13.305076783407713,2.1055996849104446e-05,65,5.3613492530972546e-05,2024-08-20 17:18:55.820776,2024-08-20 17:23:30.698682
r4pjw3xb,Task_6,1724167410698682368,1724167685576589312,Task,625.2737642585552,39.6731389348556,17.699085123621447,2.4081115335868186,0.028266011963563133,0.003917071817359346,7.216107664479426,17.71027044046187,10.646387832699618,0.007933426029725693,862.0,540.0,651.4000000000001,22.0,17.058808334952577,5.149465971362572e-05,82,0.0008353236317568373,2024-08-20 17:23:30.698682,2024-08-20 17:28:05.576589
r4pjw3xb,Baseline_1,1724165349114380288,1724165486553333760,Baseline,531.1832797427653,48.124621940239926,15.891135275815486,1.7684887459807075,0.00366364093143364,0.0011540194159860855,3.1746787624913013,15.902689970039852,6.270096463022508,0.003301898995026575,826.0,459.0,551.8,22.0,12.063908583266493,1.4071646516130516e-05,46,-2.2485761652715465e-05,2024-08-20 16:49:09.114380,2024-08-20 16:51:26.553334
