Participant_Code,Window_ID,Window_Start,Window_End,Segment_Type,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_pNN50,HRV_LF,HRV_HF,HRV_LFHF,HRV_SDSD,HRV_pNN20,HRV_VLF,HRV_maxNN,HRV_minNN,HRV_prc80NN,HRV_madNN,EDA_Tonic,SCR_Amplitude,SCR_Onsets,SCR_Phasic,Window_Start_readable,Window_End_readable,HRV_MeanNN_norm,HRV_SDNN_norm,HRV_RMSSD_norm,HRV_pNN50_norm,HRV_LF_norm,HRV_HF_norm,HRV_LFHF_norm,HRV_SDSD_norm,HRV_pNN20_norm,HRV_VLF_norm,HRV_maxNN_norm,HRV_minNN_norm,HRV_prc80NN_norm,HRV_madNN_norm,EDA_Tonic_norm,SCR_Amplitude_norm,SCR_Onsets_norm,SCR_Phasic_norm
4e7fwihc,Baseline_1,1721745736338505728,1721745873777459200,Baseline,898.7049180327868,77.41636461364781,35.61094952437238,11.475409836065573,0.009298104748765766,0.0020657801232657268,4.501013754584242,35.65349681327626,47.540983606557376,0.019236790426954198,1115.0,697.0,960.0,46.5,7.220706068856761,6.280601044087806e-05,22,5.953832104981426e-06,2024-07-23 16:42:16.338506,2024-07-23 16:44:33.777459,,,,,,,,,,,,,,,,,,
4e7fwihc,Task_1,1721746560972226560,1721746835850133504,Task,813.8116666666666,48.29886988266004,27.336797559968954,7.166666666666667,0.010086336554680633,0.003360345666508252,3.0015770863124875,27.35940196424267,41.5,0.009766772512235528,985.0,663.0,847.0,27.0,10.774457378621213,3.3494103391574377e-05,33,-0.00035769896822756197,2024-07-23 16:56:00.972227,2024-07-23 17:00:35.850133,-84.89325136612024,-29.117494730987772,-8.274151964403426,-4.308743169398906,0.0007882318059148664,0.0012945655432425253,-1.4994366682717541,-8.294094849033591,-6.040983606557376,-0.00947001791471867,-130.0,-34.0,-113.0,-19.5,3.5537513097644515,-2.931190704930368e-05,11.0,-0.0003636528003325434
4e7fwihc,Task_2,1721746835850133504,1721747110728040448,Task,828.6644736842105,55.65118334442199,30.63144975814423,11.18421052631579,0.01452886715130643,0.003201513849801412,4.538124097825673,30.664900747775782,46.271929824561404,0.007039808148131249,1048.0,690.0,876.0,36.0,11.186680061152126,3.598399066834785e-05,21,-5.733773423763552e-05,2024-07-23 17:00:35.850133,2024-07-23 17:05:10.728040,-70.04044434857633,-21.765181269225828,-4.979499766228148,-0.2911993097497838,0.005230762402540664,0.0011357337265356852,0.03711034324143103,-4.988596065500481,-1.2690537819959715,-0.01219698227882295,-67.0,-7.0,-84.0,-10.5,3.965973992295365,-2.6822019772530206e-05,-1.0,-6.329156634261694e-05
j6nis4aa,Baseline_1,1721745598899552256,1721745736338505728,Baseline,807.0735294117648,55.345104347427466,31.901876586334694,11.519607843137255,0.01547287703703761,0.006664633122073448,2.3216397292434623,31.938070967793678,48.529411764705884,0.018875198237884305,913.0,633.0,854.0,35.0,14.138316990950225,4.638713510833309e-05,28,0.00044908014263777,2024-07-23 16:39:58.899552,2024-07-23 16:42:16.338506,,,,,,,,,,,,,,,,,,
j6nis4aa,Task_1,1721746560972226560,1721746835850133504,Task,811.2396694214876,52.41919432484032,32.65571458970449,10.909090909090908,0.02499754336659896,0.007627492604078453,3.2772949990449898,32.68277398093703,52.56198347107438,0.013684028619099812,998.0,667.0,851.0,32.0,9.516387395447161,2.215880932991684e-05,13,5.958533300677237e-05,2024-07-23 16:56:00.972227,2024-07-23 17:00:35.850133,4.166140009722881,-2.9259100225871464,0.7538380033697933,-0.6105169340463465,0.00952466632956135,0.0009628594820050044,0.9556552698015275,0.7447030131433507,4.032571706368493,-0.005191169618784493,85.0,34.0,-3.0,-3.0,-4.6219295955030635,-2.4228325778416253e-05,-15.0,-0.00038949480963099766
j6nis4aa,Task_2,1721746835850133504,1721747110728040448,Task,811.9918300653595,56.66447258733809,34.940023430385324,12.908496732026146,0.008307112013331812,0.004772406992105865,1.7406545642634363,34.96865045220119,58.16993464052288,0.014294958941453878,999.0,643.0,860.0,36.5,9.388457913794795,1.9620766599326372e-05,16,4.012855743843748e-05,2024-07-23 17:00:35.850133,2024-07-23 17:05:10.728040,4.91830065359477,1.3193682399106237,3.0381468440506296,1.388888888888891,-0.007165765023705799,-0.001892226129967583,-0.580985164980026,3.030579484407511,9.640522875816998,-0.004580239296430427,86.0,10.0,6.0,1.5,-4.749859077155429,-2.676636850900672e-05,-12.0,-0.0004089515851993325
j6nis4aa,Task_3,1721747110728040448,1721747385605947392,Task,816.2483766233767,59.37088879564423,35.45564044019498,14.61038961038961,0.012620658388095885,0.005743052046322497,2.1975525010568884,35.48379072403534,56.980519480519476,0.016919508562932395,999.0,643.0,866.0,39.0,12.10775760555934,3.5949639347484606e-05,26,4.496040480733411e-05,2024-07-23 17:05:10.728040,2024-07-23 17:09:45.605947,9.174847211611905,4.025784448216761,3.553763853860289,3.0907817672523556,-0.002852218648941725,-0.000921581075750951,-0.12408722818657392,3.5457197562416596,8.451107715813592,-0.0019556896749519104,86.0,10.0,12.0,4.0,-2.030559385390884,-1.0437495760848486e-05,-2.0,-0.0004041197378304359
j6nis4aa,Task_4,1721747385605947392,1721747660483854336,Task,832.0652173913044,65.20225531395646,40.20035667400126,17.558528428093645,0.0153365000428475,0.006982164123961931,2.1965252850780908,40.23392010597629,62.87625418060201,0.013482218056261262,1059.0,663.0,880.0,38.0,12.06052749824069,4.926444636163042e-05,27,-0.00012116101209319319,2024-07-23 17:09:45.605947,2024-07-23 17:14:20.483854,24.99168797953962,9.857150966528991,8.298480087666569,6.03892058495639,-0.000136376994190111,0.00031753100188848266,-0.12511444416537154,8.29584913818261,14.346842415896127,-0.005392980181623043,146.0,30.0,26.0,3.0,-2.0777894927095346,2.877311253297326e-06,-1.0,-0.0005702411547309632
j6nis4aa,Task_5,1721747660483854336,1721747797922807808,Task,845.840616966581,71.72495644430856,45.02645270614785,17.480719794344473,0.007340619982012287,0.0038054577306906394,1.9289716248352766,45.08457440998655,62.2107969151671,0.01111717024200873,1059.0,669.0,902.0,45.0,14.050285932301964,6.307089810362934e-05,22,9.863379121549383e-05,2024-07-23 17:14:20.483854,2024-07-23 17:16:37.922808,38.76708755481627,16.379852096881095,13.124576119813156,5.961111951207219,-0.008132257055025323,-0.002859175391382809,-0.39266810440818567,13.146503442192873,13.681385150461217,-0.007758027995875575,146.0,36.0,48.0,10.0,-0.08803105864826044,1.6683762995296246e-05,-6.0,-0.0003504463514222762
lj6e9cwt,Baseline_1,1721745598899552256,1721745736338505728,Baseline,759.7847222222222,80.54727221148785,44.016475506442816,17.36111111111111,0.028029710091488698,0.00804674410630854,3.4833604400957374,44.067164343657126,51.157407407407405,0.016703032504326313,1033.0,540.0,830.0,51.0,4.9871270967972166,5.9606548399194455e-06,30,0.00014084753882311133,2024-07-23 16:39:58.899552,2024-07-23 16:42:16.338506,,,,,,,,,,,,,,,,,,
lj6e9cwt,Task_1,1721746560972226560,1721746835850133504,Task,748.3012232415903,73.41192240175917,32.96055464229506,11.162079510703364,0.01628696742110444,0.002691970930436219,6.050201819402718,32.98543637661593,49.38837920489297,0.011153898796827662,953.0,569.0,812.0,51.5,4.781517789215925,3.5613685108214104e-06,32,-3.3644621746890075e-05,2024-07-23 16:56:00.972227,2024-07-23 17:00:35.850133,-11.483498980631907,-7.13534980972868,-11.055920864147758,-6.199031600407746,-0.011742742670384259,-0.00535477317587232,2.56684137930698,-11.081727967041196,-1.7690282025144342,-0.005549133707498651,-80.0,29.0,-18.0,0.5,-0.20560930758129192,-2.399286329098035e-06,2.0,-0.0001744921605700014
lj6e9cwt,Task_2,1721746835850133504,1721747110728040448,Task,776.0079365079365,68.56587887668827,36.9146094964667,15.238095238095239,0.03126169593289503,0.007316140557447602,4.272976398884465,36.943704691526186,56.03174603174603,0.013922381054726762,965.0,577.0,834.0,43.0,4.552342846270201,2.7553566197013723e-06,32,-4.8569190644582466e-05,2024-07-23 17:00:35.850133,2024-07-23 17:05:10.728040,16.223214285714334,-11.981393334799577,-7.1018660099761135,-2.1230158730158717,0.003231985841406333,-0.0007306035488609383,0.7896159587887275,-7.12345965213094,4.874338624338627,-0.0027806514495995506,-68.0,37.0,4.0,-8.0,-0.43478425052701564,-3.2052982202180732e-06,2.0,-0.0001894167294676938
lj6e9cwt,Task_3,1721747110728040448,1721747385605947392,Task,764.6936236391913,76.25427462464664,36.38912233482783,15.241057542768274,0.028404139082571053,0.004612054196876993,6.158674176423303,36.41749258749153,55.83203732503888,0.01375237627864968,1029.0,565.0,826.0,51.0,4.681229959336199,4.253362136357207e-06,38,-2.5070694374675026e-05,2024-07-23 17:05:10.728040,2024-07-23 17:09:45.605947,4.908901416969115,-4.29299758684121,-7.627353171614985,-2.1200535683428363,0.00037442899108235464,-0.003434689909431547,2.6753137363275656,-7.649671756165596,4.674629917631478,-0.002950656225676633,-4.0,25.0,-4.0,0.0,-0.30589713746101754,-1.7072927035622385e-06,8.0,-0.00016591823319778636
lj6e9cwt,Task_4,1721747385605947392,1721747660483854336,Task,784.6714285714286,73.75528851954556,47.661932162098545,11.904761904761903,0.023614511404304428,0.006580907789723232,3.5883364664645403,47.699429690959086,48.41269841269841,0.013121411694387892,1271.0,565.0,836.2,42.0,4.746270900513254,4.28753017806238e-06,39,8.798728510617321e-06,2024-07-23 17:09:45.605947,2024-07-23 17:14:20.483854,24.886706349206406,-6.791983691942292,3.645456655655728,-5.456349206349207,-0.00441519868718427,-0.0014658363165853082,0.10497602636880288,3.63226534730196,-2.7447089947089935,-0.003581620809938421,238.0,25.0,6.2000000000000455,-9.0,-0.24085619628396238,-1.6731246618570657e-06,9.0,-0.000132048810312494
lj6e9cwt,Task_5,1721747660483854336,1721747797922807808,Task,832.2864583333334,456.90250255349133,624.1411791319738,32.55208333333333,0.010104651484739758,0.011201798512767116,0.9020561718926744,624.9569991741682,55.989583333333336,0.0035919776042315026,5630.0,331.0,837.8000000000001,67.5,2.7478129620348364,1.8836627679785715e-05,4,2.6862746566821938e-05,2024-07-23 17:14:20.483854,2024-07-23 17:16:37.922808,72.5017361111112,376.3552303420035,580.124703625531,15.190972222222218,-0.01792505860674894,0.003155054406458576,-2.581304268203063,580.8898348305111,4.832175925925931,-0.01311105490009481,4597.0,-209.0,7.800000000000068,16.5,-2.23931413476238,1.287597283986627e-05,-26.0,-0.00011398479225628939
p7iju5ef,Baseline_1,1721745873777459200,1721746011216412672,Baseline,774.7505995203837,59.290599169515026,37.94752196226946,16.786570743405278,0.04132291483499804,0.017028934432748347,2.426629510976913,37.99317746421873,58.752997601918466,0.01276511741067202,923.0,599.0,820.8,38.0,10.004944476327264,7.772122843209531e-05,19,-0.000139733691123952,2024-07-23 16:44:33.777459,2024-07-23 16:46:51.216413,,,,,,,,,,,,,,,,,,
p7iju5ef,Task_1,1721746560972226560,1721746835850133504,Task,682.6471408647141,57.97087650914474,20.748864140682294,2.2315202231520224,0.001856416345048469,0.0004912677839682334,3.778827770983064,20.76328969430331,24.686192468619247,0.0010975330837951344,866.0,544.0,731.0,39.0,15.084666301055089,5.721704339635197e-05,70,0.000365846616530829,2024-07-23 16:56:00.972227,2024-07-23 17:00:35.850133,-92.10345865566967,-1.3197226603702887,-17.19865782158717,-14.555050520253255,-0.03946649848994957,-0.016537666648780112,1.3521982600061513,-17.229887769915422,-34.06680513329922,-0.011667584326876885,-57.0,-55.0,-89.79999999999995,1.0,5.079721824727825,-2.050418503574334e-05,51.0,0.000505580307654781
p7iju5ef,Task_2,1721746835850133504,1721747110728040448,Task,663.2336956521739,44.5678540133759,19.439947649771344,2.0380434782608696,0.016536964737366683,0.0031679277792433574,5.220120498238267,19.45313373070299,20.652173913043477,0.013075863619554352,923.0,544.0,696.0,26.0,17.428824341049495,4.6391354850910215e-05,73,0.0002950071944390761,2024-07-23 17:00:35.850133,2024-07-23 17:05:10.728040,-111.51690386820985,-14.722745156139126,-18.507574312498118,-14.748527265144409,-0.024785950097631355,-0.013861006653504988,2.7934909872613543,-18.54004373351574,-38.10082368887499,0.0003107462088823322,0.0,-55.0,-124.79999999999995,-12.0,7.423879864722231,-3.1329873581185096e-05,54.0,0.00043474088556302805
p7iju5ef,Task_3,1721747110728040448,1721747385605947392,Task,646.6174142480211,43.77302828750018,16.8216222434379,1.1873350923482848,0.006831844358174855,0.0015418602484273192,4.4309102366075415,16.832730691042872,16.490765171503956,0.006024470335069626,923.0,528.0,678.0,26.0,18.584061448834213,4.0092615644465706e-05,59,-0.00014863127961920022,2024-07-23 17:05:10.728040,2024-07-23 17:09:45.605947,-128.13318527236265,-15.517570882014844,-21.125899718831562,-15.599235651056993,-0.034491070476823184,-0.015487074184321027,2.0042807256306285,-21.16044677317586,-42.262232430414514,-0.006740647075602394,0.0,-71.0,-142.79999999999995,-12.0,8.579116972506949,-3.7628612787629605e-05,40.0,-8.897588495248226e-06
p7iju5ef,Task_4,1721747385605947392,1721747660483854336,Task,735.2071535022354,98.35150338153323,36.61962608937144,12.071535022354695,0.0016271864391454636,0.00045568699609679995,3.5708423832217635,36.646889340846066,43.36810730253353,0.0006591872431975687,1061.0,568.0,831.0,76.0,19.815917640877988,6.321485312453523e-05,13,6.120994426000684e-05,2024-07-23 17:09:45.605947,2024-07-23 17:14:20.483854,-39.5434460181483,39.06090421201821,-1.3278958728980257,-4.715035721050583,-0.03969572839585257,-0.016573247436651548,1.1442128722448506,-1.3462881233726662,-15.384890299384935,-0.012105930167474452,138.0,-31.0,10.200000000000045,38.0,9.810973164550724,-1.4506375307560081e-05,-6.0,0.00020094363538395886
p7iju5ef,Task_5,1721747660483854336,1721747797922807808,Task,779.3469879518073,69.6267140438101,39.655064677659674,12.771084337349398,0.04420944369177443,0.00935648173888298,4.725007211637262,39.69957576435176,58.31325301204819,0.012127185144731382,1008.9999999999999,568.0,833.2,43.0,18.09632519019915,0.00013725083529359707,14,-0.0009295406331797371,2024-07-23 17:14:20.483854,2024-07-23 17:16:37.922808,4.59638843142352,10.33611487429507,1.7075427153902112,-4.01548640605588,0.002886528856776392,-0.007672452693865366,2.298377700660349,1.7063983001330314,-0.43974458987027276,-0.0006379322659406383,85.99999999999989,-31.0,12.400000000000091,5.0,8.091380713871885,5.952960686150176e-05,-5.0,-0.0007898069420557852
qcmosl88,Baseline_1,1721745598899552256,1721745736338505728,Baseline,814.6289926289926,48.22609359226493,22.707933554276106,2.7027027027027026,0.015236210926499003,0.002980636148709866,5.111731243376962,22.735368157871928,35.38083538083538,0.019958271518464,963.0,677.0,848.8,24.0,9.826393391262476,4.9033778621902755e-05,14,-5.938611565893792e-05,2024-07-23 16:39:58.899552,2024-07-23 16:42:16.338506,,,,,,,,,,,,,,,,,,
qcmosl88,Task_1,1721746560972226560,1721746835850133504,Task,800.8623548922056,45.196977074113725,25.51925857346829,4.643449419568822,0.019365576187741165,0.005174122102221671,3.7427752583237166,25.540469808409632,42.62023217247098,0.008907333385695276,951.0,659.0,835.0,28.0,11.778257408869012,0.0001109292062498119,44,1.0121284346094316e-06,2024-07-23 16:56:00.972227,2024-07-23 17:00:35.850133,-13.766637736786947,-3.0291165181512056,2.811325019192182,1.9407467168661192,0.004129365261242163,0.002193485953511805,-1.3689559850532453,2.805101650537704,7.239396791635599,-0.011050938132768725,-12.0,-18.0,-13.799999999999955,4.0,1.9518640176065354,6.189542762790915e-05,30.0,6.0398244093547356e-05
qcmosl88,Task_2,1721746835850133504,1721747110728040448,Task,793.7796052631579,57.2250458856516,26.88271555083582,6.4144736842105265,0.014180124587840738,0.0029347817556944294,4.831747560215233,26.904810022860843,42.92763157894737,0.005520021419477658,973.0,623.0,841.6,39.0,12.191288832592203,0.00010317111856175905,36,-0.001090357919780355,2024-07-23 17:00:35.850133,2024-07-23 17:05:10.728040,-20.849387365834673,8.998952293386672,4.174781996559712,3.711770981507824,-0.0010560863386582641,-4.585439301543672e-05,-0.2799836831617286,4.169441864988915,7.546796198111991,-0.014438250098986343,10.0,-54.0,-7.199999999999932,15.0,2.364895441329727,5.4137339939856294e-05,22.0,-0.0010309718041214171
qcmosl88,Task_3,1721747110728040448,1721747385605947392,Task,783.1666666666666,48.761714020191356,24.88088316036121,4.0453074433656955,0.010999906386943608,0.002106061947649422,5.222973806264633,24.90029698697953,42.07119741100323,0.007281625369555077,907.0,623.0,822.6,31.5,12.472609883745218,0.0001255090396691462,48,-0.000270627727640629,2024-07-23 17:05:10.728040,2024-07-23 17:09:45.605947,-31.462325962325963,0.5356204279264247,2.172949606085105,1.3426047406629928,-0.004236304539555395,-0.0008745742010604443,0.11124256288767143,2.164928829107602,6.690362030167854,-0.012676646148908923,-56.0,-54.0,-26.199999999999932,7.5,2.6462164924827416,7.647526104724343e-05,34.0,-0.0002112416119816911
