Participant_Code,Window_ID,Window_Start,Window_End,Segment_Type,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_pNN50,HRV_LF,HRV_HF,HRV_LFHF,HRV_SDSD,HRV_pNN20,HRV_VLF,HRV_maxNN,HRV_minNN,HRV_prc80NN,HRV_madNN,EDA_Tonic,SCR_Amplitude,SCR_Onsets,SCR_Phasic,Window_Start_readable,Window_End_readable
adnmi5d2,Task_1,1724761776920379100,1724762076920211000,Task,758.0746268656717,52.199371006372296,30.84327629010401,8.955223880597014,0.01259320558353967,0.007715229871169507,1.6322528030692025,30.876205538396007,49.25373134328358,0.012061412751207997,893.0,616.0,802.0,34.0,15.896442962103512,4.461061341881135e-05,42,0.00010712056933338667,2024-08-27 14:29:36.920379,2024-08-27 14:34:36.920211
adnmi5d2,Task_2,1724762046920458500,1724762346920166600,Task,771.4742489270386,66.06937036969234,31.711908824451463,10.085836909871244,0.009627127355911702,0.004198549885711948,2.292964861194981,31.745288305912577,45.06437768240343,0.010692458270451205,910.0,571.0,828.0,46.5,15.249725030607372,7.317822880878291e-05,37,0.00045838666239949785,2024-08-27 14:34:06.920459,2024-08-27 14:39:06.920167
adnmi5d2,Task_3,1724762316920602700,1724762425870858800,Task,809.0636942675159,56.0019094830889,38.6803965455769,12.738853503184714,0.053395095863525005,0.01486524356640556,3.5919422123828695,38.804241899729696,54.14012738853503,0.003089551195812722,910.0,666.0,852.0,32.0,12.938511323696593,7.16871750231752e-05,9,-3.893288150303645e-05,2024-08-27 14:38:36.920603,2024-08-27 14:40:25.870859
adnmi5d2,Baseline_1,1724760875645482200,1724761175644052400,Baseline,831.593896713615,97.32718312181318,44.716229452745544,22.300469483568076,0.012858166204085005,0.003786162435451601,3.3960947062619424,44.76755380265843,65.02347417840375,0.009941250039778636,1027.0,595.0,920.0,69.0,14.147034297899594,3.741472914575798e-05,30,-0.00013456006778521926,2024-08-27 14:14:35.645482,2024-08-27 14:19:35.644053
qg17i5kw,Task_1,1724761834172448768,1724762109050355712,Task,861.2980599647266,45.5193941477634,32.04480079436491,11.11111111111111,0.009619470062784847,0.007422830086800189,1.2959302517096385,32.07314336843804,59.25925925925925,0.017543055053282387,962.0,675.0,898.0,29.0,3.7931776569242857,4.973584094422906e-06,4,-1.2537620718091942e-05,2024-08-27 14:30:34.172449,2024-08-27 14:35:09.050356
qg17i5kw,Task_2,1724762109050355712,1724762383928262656,Task,873.0447227191413,45.71365375534011,33.128375259161565,12.701252236135957,0.010785958214458154,0.011710550818278147,0.9210461900411325,33.157797348089865,60.28622540250447,0.007059541559183782,995.0,704.0,912.0,32.0,3.5366683199490137,4.58143568735356e-06,4,-0.0010921869042978816,2024-08-27 14:35:09.050356,2024-08-27 14:39:43.928263
qg17i5kw,Task_3,1724762383928262656,1724762658806169600,Task,889.1020036429873,58.13400527205045,41.92017527265971,12.021857923497267,0.009072985888695555,0.008353662837489404,1.086108700482618,41.958240331681466,57.377049180327866,0.011311959300826199,1040.0,475.0,932.4000000000001,33.0,4.408297824096705,2.4425436277908776e-05,11,-8.202824369773476e-06,2024-08-27 14:39:43.928263,2024-08-27 14:44:18.806170
qg17i5kw,Task_4,1724762658806169600,1724762933684076544,Task,907.5512104283054,59.73031496304342,42.576489553350534,13.966480446927374,0.003989679913222296,0.0030609688344010685,1.3034042909499095,42.616260615544405,57.54189944134078,0.005523111632055093,1203.0,727.0,957.0,39.0,5.90423045110985,3.702736626551259e-05,19,-0.0009769744002799286,2024-08-27 14:44:18.806170,2024-08-27 14:48:53.684077
qg17i5kw,Task_5,1724762933684076544,1724763071123030016,Task,912.5477528089888,77.26231499819022,51.726147799707476,21.34831460674157,0.00945781917431407,0.006342853975941453,1.4910983620603169,51.79713997621801,60.1123595505618,0.019798038292342807,1203.0,682.0,973.0,45.5,6.521943051752947,3.7887942727753004e-05,16,-0.00030043717009321406,2024-08-27 14:48:53.684077,2024-08-27 14:51:11.123030
qg17i5kw,Baseline_1,1724761146977681408,1724761421855588352,Baseline,842.9089347079038,58.54933300283296,37.81176769535971,6.529209621993128,0.0030123650960340114,0.0017023504086395146,1.769532923859921,37.84429037470805,52.40549828178695,0.0022547236185739565,982.0,365.0,893.0,38.5,4.956149657848298,2.7599277568979758e-05,14,-5.179618363924254e-06,2024-08-27 14:19:06.977681,2024-08-27 14:23:41.855588
