Participant_Code,Window_ID,Window_Start,Window_End,Segment_Type,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_pNN50,HRV_LF,HRV_HF,HRV_LFHF,HRV_SDSD,HRV_pNN20,HRV_VLF,HRV_maxNN,HRV_minNN,HRV_prc80NN,HRV_madNN,EDA_Tonic,SCR_Amplitude,SCR_Onsets,SCR_Phasic,Window_Start_readable,Window_End_readable
u2v5t7mb,Task_1,1721738314635018240,1721738589512925184,Task,880.4428571428572,81.41910140815811,45.215089222305394,21.428571428571427,0.006676612283001211,0.002590253553134989,2.5775902420519774,45.2523984633582,63.92857142857142,0.0077381151650827516,1053.0,615.0,943.6000000000001,45.5,10.890485890497471,1.73907038255699e-05,35,0.00024854234292939097,2024-07-23 14:38:34.635018,2024-07-23 14:43:09.512925
u2v5t7mb,Task_2,1721738589512925184,1721738864390832128,Task,865.8010657193606,65.56892707792677,42.54823513575222,18.117229129662523,0.014026113124765724,0.0049101168340266056,2.8565742117511745,42.58583838968361,58.792184724689164,0.014567368404268316,1006.0,572.0,915.6,32.0,9.922239332231388,1.3968279018136904e-05,23,-2.836718557287723e-05,2024-07-23 14:43:09.512925,2024-07-23 14:47:44.390832
u2v5t7mb,Task_3,1721738864390832128,1721739139268739072,Task,874.658407079646,68.390605724462,41.695514836092485,14.513274336283185,0.008677718194894869,0.003203743705465904,2.7086181020316396,41.73247651723013,56.99115044247788,0.015177943418570768,1039.0,572.0,923.0,32.0,8.34118500928475,9.224034657051165e-06,17,6.762010595829328e-05,2024-07-23 14:47:44.390832,2024-07-23 14:52:19.268739
u2v5t7mb,Task_4,1721739139268739072,1721739414146646016,Task,884.9657657657658,150.36054352697863,201.27628872853387,21.8018018018018,0.024653450556276404,0.06193534847716415,0.39805137393174184,201.45817518311603,63.60360360360361,0.009343401272005772,2501.0,337.0,955.2,52.0,6.585459468925339,2.6570148615837615e-05,10,1.0185478887941117e-05,2024-07-23 14:52:19.268739,2024-07-23 14:56:54.146646
u2v5t7mb,Task_5,1721739414146646016,1721739689024552960,Task,949.2494623655914,535.6995206526809,635.5559201094793,36.774193548387096,0.0023542060408904357,0.0005077987400832548,4.636100594705017,636.2413390097806,70.96774193548387,0.0010176871125124804,9325.0,335.0,996.2,71.0,4.023992114728622,3.18107598840342e-05,11,-0.004346137978602321,2024-07-23 14:56:54.146646,2024-07-23 15:01:29.024553
u2v5t7mb,Baseline_1,1721737490001297408,1721737627440250880,Baseline,906.625,106.25570114149,46.958851186281976,28.61111111111111,0.0028670377615128135,0.0008724724524618243,3.286106917671722,47.02410245004489,65.0,0.006131005064521971,1115.0,605.0,998.0,65.0,9.641033535605736,6.143072825099141e-05,25,-0.00012306348633374964,2024-07-23 14:24:50.001297,2024-07-23 14:27:07.440251
1pzinond,Task_1,1721738314635018240,1721738589512925184,Task,793.7647058823529,87.19403008933243,38.08842756322388,16.013071895424837,0.006156800976180711,0.001382848117864001,4.452261167835798,38.11850718135019,55.22875816993464,0.00969494349945732,1032.0,595.0,867.0,60.5,4.874487924115715,2.825115219620406e-05,41,0.0005670043763583833,2024-07-23 14:38:34.635018,2024-07-23 14:43:09.512925
1pzinond,Task_2,1721738589512925184,1721738864390832128,Task,781.1573033707865,71.08833081855691,33.62639925249361,12.199036918138042,0.017692055349662495,0.00390911065045421,4.525851768254963,33.653377789449,51.04333868378812,0.013887370814655662,1034.0,560.0,840.0,47.0,5.095900970472138,3.013745461139941e-05,45,-0.00031532056843761014,2024-07-23 14:43:09.512925,2024-07-23 14:47:44.390832
1pzinond,Task_3,1721738864390832128,1721739139268739072,Task,785.8678343949044,87.15062425606219,35.94031912873006,14.012738853503185,0.008511598339885226,0.0017196215831577128,4.949692666834013,35.96810733766132,50.0,0.014446138801213454,1034.0,583.0,858.6,56.0,5.01642229157361,2.1353894669098395e-05,50,0.0003169684842735162,2024-07-23 14:47:44.390832,2024-07-23 14:52:19.268739
1pzinond,Task_4,1721739139268739072,1721739414146646016,Task,767.710730948678,99.61647791821073,42.82064311328724,16.018662519440124,0.00681293205169602,0.00191317789738214,3.5610551747531494,42.853268969124144,49.30015552099534,0.007980600829048683,1006.0,412.0,856.0,66.0,5.481600948704157,2.1005915386591986e-05,45,-0.00019112412268254474,2024-07-23 14:52:19.268739,2024-07-23 14:56:54.146646
