Participant_Code,Window_ID,Window_Start,Window_End,Segment_Type,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_pNN50,HRV_LF,HRV_HF,HRV_LFHF,HRV_SDSD,HRV_pNN20,HRV_VLF,HRV_maxNN,HRV_minNN,HRV_prc80NN,HRV_madNN,EDA_Tonic,SCR_Amplitude,SCR_Onsets,SCR_Phasic,Window_Start_readable,Window_End_readable,HRV_MeanNN_norm,HRV_SDNN_norm,HRV_RMSSD_norm,HRV_pNN50_norm,HRV_LF_norm,HRV_HF_norm,HRV_LFHF_norm,HRV_SDSD_norm,HRV_pNN20_norm,HRV_VLF_norm,HRV_maxNN_norm,HRV_minNN_norm,HRV_prc80NN_norm,HRV_madNN_norm,EDA_Tonic_norm,SCR_Amplitude_norm,SCR_Onsets_norm,SCR_Phasic_norm
75e3h9vv,Baseline_1,1732798989293584384,1732799126732537856,Baseline,790.6161369193154,41.04793746748,22.381715226286573,2.93398533007335,0.012519233106089598,0.00553091522433195,2.263501174455577,22.40917497353824,37.163814180929094,0.015306953798269764,899.0,659.0,825.0,26.0,5.365298678998394,1.3421711481382057e-05,19,-0.0004772857396908969,2024-11-28 14:03:09.293584,2024-11-28 14:05:26.732538,,,,,,,,,,,,,,,,,,
75e3h9vv,Task_1,1732800363683119104,1732800638561026048,Task,789.0815660685155,37.92812090933792,23.722042368178315,2.6101141924959217,0.018201178779315163,0.008371597956889763,2.1741582518706273,23.741244148670344,41.598694942903755,0.019060631466149003,869.0,661.0,817.0,20.0,8.907973298111235,3.20032370822127e-05,50,-0.00010049363009181558,2024-11-28 14:26:03.683119,2024-11-28 14:30:38.561026,-1.5345708507999234,-3.1198165581420767,1.3403271418917413,-0.32387113757742814,0.005681945673225565,0.0028406827325578136,-0.08934292258494958,1.332069175132105,4.434880761974661,0.0037536776678792384,-30.0,2.0,-8.0,-6.0,3.5426746191128418,1.8581525600830644e-05,31.0,0.0003767921095990813
75e3h9vv,Task_2,1732800638561026048,1732800775999979520,Task,798.0496894409938,36.142466671486524,23.142656600250845,2.484472049689441,0.01513515360680533,0.006126457734172807,2.4704575243183124,23.17878795492098,40.683229813664596,0.016446591303250244,869.0,663.0,825.0,20.0,8.052070519165735,2.4853603250966447e-05,24,-0.00023085347431962383,2024-11-28 14:30:38.561026,2024-11-28 14:32:55.999979,7.4335525216783935,-4.905470795993473,0.7609413739642719,-0.44951328038390903,0.0026159205007157318,0.0005955425098408572,0.2069563498627356,0.7696129813827426,3.5194156327355017,0.00113963750498048,-30.0,4.0,0.0,-6.0,2.6867718401673413,1.143189176958439e-05,5.0,0.00024643226537127307
ha6mgrb5,Baseline_1,1732799126732537856,1732799264171491328,Baseline,767.5350467289719,73.308888603234,61.33751216120901,14.018691588785046,0.0107291653535495,0.011001100988011436,0.975281052800235,61.40945088808797,53.50467289719626,0.004647360070034337,1182.0,549.0,824.0,42.5,9.127434189622676,3.418505807465331e-05,18,-3.0600222893534234e-06,2024-11-28 14:05:26.732538,2024-11-28 14:07:44.171491,,,,,,,,,,,,,,,,,,
ha6mgrb5,Task_1,1732800363683119104,1732800638561026048,Task,702.3903133903134,50.18082927209524,22.617264560627593,2.7065527065527064,0.011293596020858684,0.002891976269656744,3.905148233529298,22.633240927107174,34.9002849002849,0.011543191056930135,858.0,538.0,747.8000000000001,35.0,8.829908176039325,3.9931877800077994e-05,33,-0.00039634653013570004,2024-11-28 14:26:03.683119,2024-11-28 14:30:38.561026,-65.14473333865851,-23.128059331138758,-38.720247600581416,-11.31213888223234,0.0005644306673091848,-0.008109124718354692,2.929867180729063,-38.77620996098079,-18.604387996911356,0.006895830986895798,-324.0,-11.0,-76.19999999999993,-7.5,-0.29752601358335085,5.746819725424687e-06,15.0,-0.00039328650784634664
ha6mgrb5,Task_2,1732800638561026048,1732800913438932992,Task,724.1666666666666,51.06872836906055,22.715730921866093,3.5398230088495577,0.01631411561405016,0.00451114898145718,3.6163992102917457,22.73240128366622,34.51327433628318,0.017299720179617988,885.0,598.0,765.6,35.0,7.8402261645872455,1.793400733183512e-05,20,1.2631567860877647e-06,2024-11-28 14:30:38.561026,2024-11-28 14:35:13.438933,-43.36838006230528,-22.240160234173445,-38.62178123934292,-10.478868579935488,0.005584950260500659,-0.0064899520065542565,2.6411181574915106,-38.67704960442175,-18.991398560913076,0.01265236010958365,-297.0,49.0,-58.39999999999998,-7.5,-1.2872080250354303,-1.625105074281819e-05,2.0,4.323179075441188e-06
ha6mgrb5,Task_3,1732800913438932992,1732801188316839936,Task,714.0760233918129,52.403100938495704,22.090125524333715,3.3625730994152043,0.004931102429006997,0.0013820883301387484,3.5678634436570067,22.105988201527353,31.871345029239766,0.006270554207508196,885.0,588.0,758.0,37.0,7.602857756807968,2.2762107613108305e-05,17,-1.9272991161545536e-05,2024-11-28 14:35:13.438933,2024-11-28 14:39:48.316840,-53.45902333715901,-20.90578766473829,-39.2473866368753,-10.656118489369842,-0.005798062924542502,-0.009619012657872688,2.5925823908567716,-39.303462686560614,-21.633327867956492,0.0016231941374738584,-297.0,39.0,-66.0,-5.5,-1.5245764328147082,-1.1422950461545003e-05,-1.0,-1.6212968872192114e-05
ha6mgrb5,Task_4,1732801188316839936,1732801463194746880,Task,712.6869565217391,40.85249729197531,20.218580599324444,1.4492753623188406,0.01322365099443225,0.00524872732162753,2.5194014061168355,20.231951032365334,28.695652173913043,0.013175060301343954,846.0,588.0,746.0,25.0,8.680058730626566,2.4691815404177614e-05,19,0.00011821718814214155,2024-11-28 14:39:48.316840,2024-11-28 14:44:23.194747,-54.84809020723276,-32.456391311258685,-41.118931561884565,-12.569416226466206,0.002494485640882751,-0.005752373666383906,1.5441203533166004,-41.17749985572263,-24.809020723283215,0.008527700231309616,-336.0,39.0,-78.0,-17.5,-0.44737545899610964,-9.493242670475693e-06,1.0,0.00012127721043149498
ha6mgrb5,Task_5,1732801463194746880,1732801738072653824,Task,720.4919472913616,43.4737036793323,21.313502666019684,1.903367496339678,0.007486874225034277,0.0035824974467643057,2.0898477490322804,21.329118905263165,32.210834553440705,0.012438792699657298,869.0,595.0,753.6,27.0,6.5089621959014865,1.0779555395309461e-05,12,3.1510510221707144e-05,2024-11-28 14:44:23.194747,2024-11-28 14:48:58.072654,-47.043099437610294,-29.835184923901693,-40.02400949518933,-12.115324092445368,-0.0032422911285152223,-0.007418603541247131,1.1145666962320453,-40.0803319828248,-21.293838343755553,0.007791432629622961,-313.0,46.0,-70.39999999999998,-15.5,-2.6184719937211893,-2.3405502679343846e-05,-6.0,3.4570532511060566e-05
ha6mgrb5,Task_6,1732801738072653824,1732801875511607296,Task,704.755364806867,43.96787956591202,18.8887518443268,0.8583690987124464,0.004532763897172675,0.002715915234872576,1.6689636844963394,18.90896168581435,27.038626609442062,0.007444695871530746,822.0,595.0,743.0,31.5,9.581845457321368,4.514116980247587e-05,19,0.00018366043510247655,2024-11-28 14:48:58.072654,2024-11-28 14:51:15.511607,-62.77968192210494,-29.341009037321975,-42.448760316882215,-13.1603224900726,-0.006196401456376824,-0.00828518575313886,0.6936826316961043,-42.50048920227361,-26.466046287754196,0.002797335801496409,-360.0,46.0,-81.0,-11.0,0.454411267698692,1.0956111727822565e-05,1.0,0.00018672045739182998
