Participant_Code,Window_ID,Window_Start,Window_End,Segment_Type,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_pNN50,HRV_LF,HRV_HF,HRV_LFHF,HRV_SDSD,HRV_pNN20,HRV_VLF,HRV_maxNN,HRV_minNN,HRV_prc80NN,HRV_madNN,EDA_Tonic,SCR_Amplitude,SCR_Onsets,SCR_Phasic,Window_Start_readable,Window_End_readable
xpig5mg9,Task_1,1732195094451200300,1732195394450681300,Task,655.3570093457944,39.92358832691416,20.332949588077742,0.7476635514018692,0.01813609391704327,0.006732300920273654,2.6938923455468586,20.351807464311058,31.588785046728972,0.019681124858706253,754.0,529.0,687.0,24.0,5.8512265440303315,1.1906941459243891e-05,32,-3.611708494311961e-05,2024-11-21 14:18:14.451200,2024-11-21 14:23:14.450681
xpig5mg9,Task_2,1732195364451845000,1732195664450935700,Task,663.6428571428571,38.63972719393523,18.991226044325487,0.9398496240601504,0.01542697057647213,0.0041148764424274575,3.749072613070106,19.00913235681254,27.44360902255639,0.01493921791418534,768.0,565.0,693.8,25.5,5.540375652879532,1.1189496826854862e-05,23,-0.00016654902085673067,2024-11-21 14:22:44.451845,2024-11-21 14:27:44.450936
xpig5mg9,Task_3,1732195634451200800,1732195934451116000,Task,669.2419047619047,44.68606093813243,19.419780189163312,1.1428571428571428,0.0120025772155694,0.0035445261672276177,3.386228976539711,19.437964546778908,29.904761904761905,0.01948782365636477,772.0,526.0,704.0,25.0,6.499672366596714,1.5420311197971907e-05,14,-0.00033882318384368597,2024-11-21 14:27:14.451201,2024-11-21 14:32:14.451116
xpig5mg9,Task_4,1732195904451571600,1732196204450753400,Task,684.5831702544032,55.57355513128326,28.48057473533324,4.6966731898238745,0.010568888134887199,0.00372459082695097,2.8375971015154753,28.50848874333315,39.53033268101761,0.009695362494061477,846.0,461.0,731.0,40.0,4.268113929649357,5.8256489395631655e-06,24,1.3222387232506382e-05,2024-11-21 14:31:44.451572,2024-11-21 14:36:44.450753
xpig5mg9,Task_5,1732196174451469700,1732196474450466400,Task,706.1174089068826,291.292256822862,398.68198167864693,9.7165991902834,0.0057748447542640274,0.0014588163630250394,3.958582382699053,399.0866381296013,36.63967611336032,0.0023730133254472765,5692.0,307.0,722.4000000000001,32.0,4.957736392683887,2.264906483170862e-05,5,-0.00018995848627396679,2024-11-21 14:36:14.451470,2024-11-21 14:41:14.450466
xpig5mg9,Task_6,1732196444451630200,1732196503454206000,Task,925.2222222222222,643.9817428569077,861.0498505141398,93.05555555555556,0.0324196976511691,0.06866118341307365,0.4721692234188339,867.0810500084189,98.61111111111111,,3567.0,303.0,1154.0,247.5,0.013216756849904055,9.9519091066597e-08,2,3.877109062363065e-06,2024-11-21 14:40:44.451630,2024-11-21 14:41:43.454206
xpig5mg9,Baseline_1,1732193933366665600,1732194233365930300,Baseline,700.374,57.61149444846202,26.807635080275066,5.4,0.003995218420364928,0.002152829014153828,1.8557992270162955,26.83372588138491,43.0,0.003137719013416338,857.0,548.0,750.2,43.5,3.4946177210294094,9.41744144056436e-06,22,-1.5712138873821295e-05,2024-11-21 13:58:53.366666,2024-11-21 14:03:53.365930
g5e9hnp3,Task_1,1732195089985057600,1732195389984843700,Task,669.9881556683587,52.547104245227224,37.713729910058134,9.475465313028765,0.035118105517936,0.01564666291940181,2.24444699159395,37.745650725051654,41.11675126903553,0.01661269810313573,845.0,340.0,711.0,35.0,8.569724850243633,1.540349490158068e-05,31,-4.5763826708761305e-05,2024-11-21 14:18:09.985058,2024-11-21 14:23:09.984844
g5e9hnp3,Task_2,1732195359985214500,1732195659984357000,Task,667.2066666666667,59.010063561719306,47.349497972668864,8.833333333333334,0.02073822610219594,0.01727964536211252,1.2001534561390208,47.38891434910731,44.166666666666664,0.009933714475237106,1199.0,542.0,710.0,36.0,8.644645122991797,1.353385806202535e-05,23,-0.0001295695935959328,2024-11-21 14:22:39.985214,2024-11-21 14:27:39.984357
g5e9hnp3,Task_3,1732195629985270200,1732195929984639700,Task,694.7739130434783,82.10489391016466,54.67772224685781,17.739130434782606,0.018342511963498544,0.008377984431687403,2.1893704999167913,54.7253098826128,53.565217391304344,0.011870013913855264,1177.0,562.0,751.0,52.0,9.08191736553871,1.4599793084351378e-05,27,-0.0002206634821931285,2024-11-21 14:27:09.985270,2024-11-21 14:32:09.984640
g5e9hnp3,Task_4,1732195899985278600,1732196199984605600,Task,692.5313588850174,187.59715544800144,240.07418138034967,17.421602787456447,0.07802082542134493,0.0452996148403546,1.7223286709237327,240.28002247228625,48.257839721254356,0.01988972804255283,3426.0,334.0,730.4000000000001,47.5,8.792061368253075,1.5253549102865995e-05,16,0.0006027491427543549,2024-11-21 14:31:39.985279,2024-11-21 14:36:39.984606
g5e9hnp3,Task_5,1732196169985243400,1732196214177619900,Task,748.2948717948718,377.56812781561837,527.805355700843,60.256410256410255,0.029024737879147257,0.06352969257873833,0.4568688545623633,531.2573016666809,79.48717948717949,,2712.0,345.0,786.6000000000001,60.0,2.8437798602243523,2.5408269281797217e-05,2,0.004695280485425722,2024-11-21 14:36:09.985243,2024-11-21 14:36:54.177620
g5e9hnp3,Baseline_1,1732193914724425100,1732194214723406400,Baseline,693.4155172413793,102.58468728921463,90.16328500006782,17.413793103448274,0.03709642796381446,0.01584441385522418,2.341293802521014,90.24119713296847,53.96551724137931,0.011735892126317943,1627.0,487.0,757.2,52.5,7.4746128003214585,1.5539334160351386e-05,23,6.943039313781182e-05,2024-11-21 13:58:34.724425,2024-11-21 14:03:34.723406
7v42eh8k,Task_1,1732195096015279700,1732195396014791600,Task,781.9977728285078,58.25729946931291,40.28345437556928,21.380846325167038,0.007596569819181689,0.011210988381897885,0.6776003649640462,40.32790646375189,68.59688195991092,0.00855895880764579,975.0,612.0,827.0,36.0,10.268213409699543,4.8507455028130445e-05,19,-0.0001949185729846258,2024-11-21 14:18:16.015280,2024-11-21 14:23:16.014792
7v42eh8k,Task_2,1732195366015773900,1732195666015018700,Task,796.4451901565996,51.350732944123955,38.12385409584236,19.910514541387027,0.007148335783982461,0.015104482856848926,0.4732592205724636,38.16659396706903,66.44295302013423,0.016092129650928613,975.0,631.0,834.0,32.0,8.733435266069135,2.3313117947713965e-05,9,-3.546367584914251e-05,2024-11-21 14:22:46.015774,2024-11-21 14:27:46.015019
