Participant_Code,Window_ID,Window_Start,Window_End,Segment_Type,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_pNN50,HRV_LF,HRV_HF,HRV_LFHF,HRV_SDSD,HRV_pNN20,HRV_VLF,HRV_maxNN,HRV_minNN,HRV_prc80NN,HRV_madNN,EDA_Tonic,SCR_Amplitude,SCR_Onsets,SCR_Phasic,Window_Start_readable,Window_End_readable,HRV_MeanNN_norm,HRV_SDNN_norm,HRV_RMSSD_norm,HRV_pNN50_norm,HRV_LF_norm,HRV_HF_norm,HRV_LFHF_norm,HRV_SDSD_norm,HRV_pNN20_norm,HRV_VLF_norm,HRV_maxNN_norm,HRV_minNN_norm,HRV_prc80NN_norm,HRV_madNN_norm,EDA_Tonic_norm,SCR_Amplitude_norm,SCR_Onsets_norm,SCR_Phasic_norm
7v42eh8k,Baseline_1,1732194442023588300,1732194742022462900,Baseline,823.1915887850467,56.878857456641086,47.337371049650315,31.308411214953267,0.005550378714819829,0.011570355790737298,0.47970683142373294,47.3928857269772,69.39252336448598,0.005663921924116619,955.0,670.0,872.0,38.0,10.042231277424591,7.747994759088925e-05,24,-0.0007973926648224815,2024-11-21 14:07:22.023588,2024-11-21 14:12:22.022463,,,,,,,,,,,,,,,,,,
7v42eh8k,Task_1,1732195096015279700,1732195396014791600,Task,781.9977728285078,58.25729946931291,40.28345437556928,21.380846325167038,0.007596569819181689,0.011210988381897885,0.6776003649640462,40.32790646375189,68.59688195991092,0.00855895880764579,975.0,612.0,827.0,36.0,10.268213409699543,4.8507455028130445e-05,19,-0.0001949185729846258,2024-11-21 14:18:16.015280,2024-11-21 14:23:16.014792,-41.19381595653897,1.378442012671826,-7.053916674081037,-9.927564889786229,0.0020461911043618596,-0.00035936740883941304,0.19789353354031325,-7.064979263225311,-0.7956414045750648,0.002895036883529172,20.0,-58.0,-45.0,-2.0,0.225982132274952,-2.897249256275881e-05,-5.0,0.0006024740918378558
7v42eh8k,Task_2,1732195366015773900,1732195666015018700,Task,796.4451901565996,51.350732944123955,38.12385409584236,19.910514541387027,0.007148335783982461,0.015104482856848926,0.4732592205724636,38.16659396706903,66.44295302013423,0.016092129650928613,975.0,631.0,834.0,32.0,8.733435266069135,2.3313117947713965e-05,9,-3.546367584914251e-05,2024-11-21 14:22:46.015774,2024-11-21 14:27:46.015019,-26.746398628447196,-5.528124512517131,-9.213516953807954,-11.39789667356624,0.001597957069162632,0.003534127066111628,-0.006447610851269325,-9.226291759908165,-2.9495703443517556,0.010428207726811994,20.0,-39.0,-38.0,-6.0,-1.3087960113554562,-5.416682964317529e-05,-15.0,0.000761928988973339
7v42eh8k,Task_3,1732195636015448600,1732195936014660600,Task,781.5388026607538,52.945969754362416,39.131686507086414,21.06430155210643,0.010833892345756184,0.013781610854821895,0.7861121939867888,39.17523648524452,64.52328159645234,0.01388095968241922,914.0,619.0,826.0,32.0,9.018112985307026,4.2650477299460074e-05,12,-0.000201659129223268,2024-11-21 14:27:16.015449,2024-11-21 14:32:16.014661,-41.6527861242929,-3.93288770227867,-8.205684542563901,-10.244109662846839,0.0052835136309363545,0.0022112550640845975,0.30640536256305584,-8.21764924173268,-4.869241768033646,0.008217037758302601,-41.0,-51.0,-46.0,-6.0,-1.0241182921175653,-3.482947029142918e-05,-12.0,0.0005957335355992135
7v42eh8k,Task_4,1732195906017091500,1732196206014908300,Task,844.1,85.98634236892322,52.59093726658202,32.857142857142854,0.001047180587015955,0.0022197226592583566,0.47176190351898917,52.651484234215715,70.71428571428572,0.0020714585006514573,1039.0,657.0,927.4000000000001,72.0,9.995805914583489,3.3868005373227486e-05,18,-0.00014658753864533057,2024-11-21 14:31:46.017092,2024-11-21 14:36:46.014908,20.908411214953276,29.107484912282132,5.253566216931702,1.548731642189587,-0.004503198127803874,-0.009350633131478941,-0.00794492790474377,5.258598507238517,1.3217623497997408,-0.0035924634234651615,84.0,-13.0,55.40000000000009,34.0,-0.04642536284110221,-4.361194221766177e-05,-6.0,0.0006508051261771509
7v42eh8k,Task_5,1732196176015905300,1732196476015176500,Task,875.8453865336659,61.1428739503854,55.94403453452388,39.900249376558605,0.013291753615260266,0.027445827511357906,0.4842905031651802,56.01113722943265,72.81795511221945,0.006862266057846089,1000.0,697.0,929.0,40.0,8.798782316119384,3.477291769634538e-05,15,-3.0472156398103712e-05,2024-11-21 14:36:16.015905,2024-11-21 14:41:16.015177,52.65379774861913,4.264016493744315,8.606663484873565,8.591838161605338,0.007741374900440437,0.015875471720620607,0.004583671741447248,8.61825150245545,3.4254317477334695,0.0011983441337294698,45.0,27.0,57.0,2.0,-1.2434489613052069,-4.2707029894543875e-05,-9.0,0.0007669205084243778
7v42eh8k,Task_6,1732196446015970700,1732196513225581900,Task,809.1875,54.48482405800333,41.40480521312523,23.958333333333336,0.02238897871054755,0.023388288936882128,0.957273051097008,41.614968450115924,67.70833333333334,,904.0,697.0,856.0,37.0,10.921341115707053,6.797500924293984e-05,7,-0.00018853039124243945,2024-11-21 14:40:46.015971,2024-11-21 14:41:53.225582,-14.004088785046747,-2.3940333986377524,-5.932565836525086,-7.3500778816199315,0.01683859999572772,0.01181793314614483,0.47756621967327506,-5.777917276861274,-1.6841900311526388,,-51.0,27.0,-16.0,-1.0,0.8791098382824618,-9.504938347949414e-06,-17.0,0.000608862273580042
g5e9hnp3,Baseline_1,1732193914724425100,1732194214723406400,Baseline,693.4155172413793,102.58468728921463,90.16328500006782,17.413793103448274,0.03709642796381446,0.01584441385522418,2.341293802521014,90.24119713296847,53.96551724137931,0.011735892126317943,1627.0,487.0,757.2,52.5,7.4746128003214585,1.5539334160351386e-05,23,6.943039313781182e-05,2024-11-21 13:58:34.724425,2024-11-21 14:03:34.723406,,,,,,,,,,,,,,,,,,
g5e9hnp3,Task_1,1732195089985057600,1732195389984843700,Task,669.9881556683587,52.547104245227224,37.713729910058134,9.475465313028765,0.035118105517936,0.01564666291940181,2.24444699159395,37.745650725051654,41.11675126903553,0.01661269810313573,845.0,340.0,711.0,35.0,8.569724850243633,1.540349490158068e-05,31,-4.5763826708761305e-05,2024-11-21 14:18:09.985058,2024-11-21 14:23:09.984844,-23.427361573020676,-50.037583043987404,-52.44955509000968,-7.938327790419509,-0.001978322445878457,-0.000197750935822371,-0.09684681092706393,-52.49554640791681,-12.848765972343777,0.004876805976817788,-782.0,-147.0,-46.200000000000045,-17.5,1.0951120499221743,-1.3583925877070632e-07,8.0,-0.00011519421984657312
g5e9hnp3,Task_2,1732195359985214500,1732195659984357000,Task,667.2066666666667,59.010063561719306,47.349497972668864,8.833333333333334,0.02073822610219594,0.01727964536211252,1.2001534561390208,47.38891434910731,44.166666666666664,0.009933714475237106,1199.0,542.0,710.0,36.0,8.644645122991797,1.353385806202535e-05,23,-0.0001295695935959328,2024-11-21 14:22:39.985214,2024-11-21 14:27:39.984357,-26.208850574712642,-43.57462372749532,-42.81378702739895,-8.58045977011494,-0.01635820186161852,0.001435231506888339,-1.1411403463819931,-42.852282783861156,-9.798850574712645,-0.001802177651080837,-428.0,55.0,-47.200000000000045,-16.5,1.1700323226703384,-2.005476098326035e-06,0.0,-0.00019899998673374462
